Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1725.093	117.065765	-1482.9292	-1899.3525	200.0	0.047838684	0.035768155	0.2521987	-0.1670354	12000	-1.1603038e-07	966844.56	-0.0014794571	-168226.62	0.9248651	0.004173089	0.01525	79.0	9.358699798583984
1	-1711.8887	110.700836	-1492.1343	-1890.4569	200.0	-102.88663	0.0012455593	-102.84724	-102.88678	24000	-5.9286755e-08	790098.25	-0.001131812	-127470.69	0.9157031	0.0031748724	0.0195	79.0	18.192359924316406
2	-1726.1168	119.304985	-1389.9126	-1912.6803	200.0	-191.73454	0.0015123942	-191.70288	-191.73471	36000	-9.8546344e-08	669828.9	-0.0006163915	-104938.75	0.92484766	0.0026270149	0.008916667	79.0	27.0698823928833
3	-1722.1387	113.69593	-1498.3667	-1906.6997	200.0	-274.35638	0.0009964212	-274.3344	-274.35657	48000	-5.1498414e-08	562380.56	-0.0022283841	-84735.47	0.9248477	0.005265768	0.032	79.0	35.894206523895264
4	-1714.1552	109.93122	-1483.5284	-1892.0381	200.0	-350.76984	0.0013103453	-350.74258	-350.7699	60000	2.5431316e-08	478227.94	-0.00257307	-67835.53	0.9441978	0.005489999	0.037	79.0	44.71491551399231
5	-1696.9839	135.3154	-1348.2147	-1921.8804	200.0	-421.20538	0.0012536135	-421.18396	-421.20554	72000	1.1444092e-08	394995.2	-0.001028333	-50891.03	0.9671797	0.002945217	0.014666666	79.0	53.50805997848511
6	-1692.8784	125.6617	-1383.616	-1906.6917	200.0	-484.25266	0.0009927041	-484.2359	-484.25275	84000	-4.83195e-08	344075.3	-0.001471241	-39451.688	0.9998371	0.0032217214	0.02325	79.0	62.33729577064514
7	-1711.1599	121.06571	-1400.3307	-1903.7317	200.0	-541.4823	0.0008020592	-541.47174	-541.4823	96000	-8.265177e-09	316044.7	-0.001847847	-31444.281	1.0127211	0.003898135	0.027666667	79.0	71.16544723510742
8	-1732.5438	135.70938	-1326.3616	-1908.5684	200.0	-594.14557	0.0006179213	-594.13727	-594.1457	108000	3.8782755e-08	288301.47	-0.0013392906	-23465.531	1.0195082	0.0043182047	0.01525	79.0	79.97500252723694
9	-1703.5645	136.18394	-1306.4453	-1887.2806	200.0	-641.149	0.0006692123	-641.1391	-641.1491	120000	2.6702882e-08	254726.17	-0.0015960686	-15734.0	1.0188998	0.0035785574	0.017083334	79.0	88.86113142967224
10	-1709.8845	130.36218	-1413.8092	-1906.9117	200.0	-680.96826	0.0006230284	-680.96027	-680.9683	132000	-2.7974446e-08	243825.36	-0.002612784	-11693.516	1.017838	0.0054314993	0.031416666	79.0	97.94249081611633
11	-1695.217	133.9928	-1374.7444	-1902.8961	200.0	-716.24506	0.00048339434	-716.2376	-716.2451	144000	4.196167e-08	225583.02	-0.0011296087	-7416.6094	1.046336	0.002897012	0.014083333	79.0	106.85690903663635
12	-1706.9088	130.34343	-1403.9208	-1917.528	200.0	-745.3456	0.00034687182	-745.3397	-745.3455	156000	2.336502e-08	221992.25	-0.000936247	-5223.328	1.0617814	0.0028282406	0.00975	79.0	115.70479035377502
13	-1688.8386	127.83822	-1388.1168	-1891.2454	200.0	-770.412	0.00041218204	-770.40625	-770.41205	168000	5.5631e-09	210653.73	-0.0020214876	-2841.3438	1.0643599	0.0047712047	0.033916667	79.0	124.55472874641418
14	-1697.1726	126.13077	-1463.5615	-1896.9197	200.0	-789.6034	0.00035810616	-789.5993	-789.60345	180000	-1.9868216e-08	212392.17	-0.0016988511	-2127.5938	1.0793405	0.00373196	0.027333334	79.0	133.38499522209167
15	-1707.8538	127.094315	-1319.3713	-1894.6318	200.0	-806.513	0.00020083488	-806.50946	-806.513	192000	1.2715658e-08	211298.94	-0.002299993	-1209.25	1.1169163	0.0048843017	0.029666666	79.0	142.28132605552673
16	-1679.8243	130.92882	-1337.0848	-1916.4988	200.0	-819.7356	0.00028600413	-819.7323	-819.7357	204000	8.90096e-09	202520.52	-0.0015239582	-380.95312	1.1414222	0.003685088	0.0145	79.0	151.0934398174286
17	-1687.4735	123.47685	-1398.1162	-1893.49	200.0	-827.5183	0.00028592543	-827.51495	-827.5181	216000	-5.086263e-09	202987.02	-0.0015292721	-217.71875	1.1221104	0.0037450644	0.020666666	79.0	159.9927363395691
18	-1647.2157	141.58063	-1357.1417	-1890.9575	200.0	-833.42114	0.00026382855	-833.4185	-833.42126	228000	5.722046e-09	194475.44	-0.0016372573	-4.5	1.1488671	0.003164924	0.015	79.0	168.8259196281433
19	-1665.2789	143.90729	-1219.8713	-1895.2384	200.0	-834.54266	0.0002555368	-834.5399	-834.54254	240000	2.2888184e-08	197674.94	-0.0025514907	-0.65625	1.1464239	0.0046178894	0.02925	79.0	177.68355512619019
20	-1651.3524	144.61194	-1226.4498	-1864.3705	200.0	-834.89166	0.00019074666	-834.8895	-834.8917	252000	6.3578287e-10	193792.06	-0.0014384409	-46.125	1.1805495	0.0022058694	0.012083333	79.0	186.76652646064758
21	-1597.0724	149.44093	-1167.4187	-1832.8657	200.0	-832.1365	0.0002015131	-832.1343	-832.1364	264000	-8.265177e-09	182716.5	-0.0019281473	-445.3125	1.1669105	0.004428274	0.026666667	79.0	195.53936076164246
22	-1603.9291	137.70334	-1321.0199	-1856.9033	200.0	-823.1786	0.00013583123	-823.1768	-823.17865	276000	1.0172526e-08	183189.42	-0.0015216128	-239.40625	1.1883684	0.0032430165	0.015833333	79.0	204.39977169036865
