Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-1512.0442	106.04676	-1194.7107	-1703.789	200.0	-780.3561	0.00013193574	-780.3544	-780.3561	324000	0.0	163450.3	-0.0023928776	-564.3594	1.0820035	0.0044677104	0.02025	79.0	237.48870205879211
27	-1513.2621	87.87056	-1316.2966	-1657.5497	200.0	-768.7803	0.00012110263	-768.7787	-768.7803	336000	-3.1789145e-09	162331.31	-0.0033079588	-338.96875	1.0829439	0.0046745352	0.04075	79.0	246.231689453125
28	-1495.481	99.76974	-1277.6982	-1675.1046	200.0	-759.4227	0.00012793625	-759.42126	-759.4227	348000	-5.086263e-09	158855.06	-0.0016283346	-263.28125	1.0722958	0.0030951188	0.01925	79.0	255.0468225479126
29	-1502.1339	96.37501	-1332.3179	-1754.5804	200.0	-751.0602	0.00016338356	-751.0587	-751.06006	360000	-1.4623006e-08	159710.64	-0.0017474962	-94.953125	1.105928	0.002599229	0.02125	79.0	263.77219223976135
30	-1494.7133	85.44094	-1249.0011	-1648.7505	200.0	-745.82385	0.00016016352	-745.82245	-745.8237	372000	-1.6848245e-08	157617.77	-0.0015249036	-76.921875	1.1065136	0.002852559	0.012416666	79.0	272.7480022907257
31	-1470.5714	88.991005	-1258.8763	-1662.5856	200.0	-741.1142	0.000109183005	-741.11304	-741.11414	384000	9.536743e-09	152533.23	-0.0012390366	-209.1875	1.0897893	0.002812303	0.009416667	79.0	281.52145051956177
32	-1492.1339	94.860405	-1305.6227	-1688.2926	200.0	-733.3122	6.613237e-05	-733.3111	-733.3122	396000	6.357829e-09	156555.98	-0.0022243774	-10.125	1.0926646	0.003819602	0.018	79.0	290.2591450214386
33	-1489.1195	97.12803	-1277.3577	-1698.199	200.0	-731.29285	9.0965936e-05	-731.29193	-731.2929	408000	-1.2079875e-08	157220.08	-0.0022519347	-10.125	1.0915599	0.0023001204	0.019083334	79.0	299.0677649974823
34	-1501.5233	98.833916	-1234.3911	-1776.4542	200.0	-733.0012	9.625382e-05	-733.00024	-733.0013	420000	-1.6530354e-08	159668.42	-0.001772733	-40.4375	1.0755712	0.003098341	0.016833333	79.0	307.793963432312
35	-1502.1256	97.46609	-1269.1407	-1695.4524	200.0	-736.65076	0.00013206745	-736.65	-736.6509	432000	-2.22524e-08	159254.3	-0.002366234	-0.03125	1.0686961	0.0041691028	0.020833334	79.0	316.48454451560974
36	-1466.5868	88.98605	-1229.4266	-1664.4475	200.0	-736.6279	5.8983987e-05	-736.62714	-736.6279	444000	7.629395e-09	151319.48	-0.0020791357	-212.5	1.0935026	0.0024657475	0.016	79.0	325.1675806045532
37	-1440.8209	106.465126	-1271.951	-1721.0374	200.0	-728.044	0.00013689892	-728.0433	-728.0441	456000	-1.3987223e-08	148271.12	-0.0018699557	-137.57812	1.0718505	0.0026764374	0.017416667	79.0	333.93163228034973
38	-1478.1426	89.02901	-1295.1903	-1742.6589	200.0	-720.71765	7.884528e-05	-720.71686	-720.7176	468000	4.7683715e-09	153568.98	-0.0017949775	-11.3125	1.076499	0.0027131615	0.015	79.0	342.80823731422424
39	-1450.7494	121.64594	-1109.992	-1852.7406	200.0	-722.5858	8.346246e-05	-722.58514	-722.5859	480000	8.90096e-09	149937.12	-0.0022738148	-9.765625	1.0704176	0.0043363865	0.023166666	79.0	351.53440618515015
40	-1494.7772	81.7957	-1346.7262	-1689.8761	200.0	-720.7044	0.0001230001	-720.7039	-720.7045	492000	-6.357829e-09	156449.4	-0.0023988718	-66.15625	1.0845449	0.003513752	0.018333333	79.0	360.4627242088318
41	-1503.504	100.7728	-1295.8604	-1723.0065	200.0	-725.8405	0.0001303652	-725.8398	-725.8404	504000	-2.22524e-08	159048.95	-0.0018569005	-56.828125	1.0669398	0.0024492473	0.01275	79.0	369.1681890487671
42	-1474.5034	70.01711	-1315.1305	-1630.548	200.0	-730.9081	7.959961e-05	-730.90735	-730.908	516000	-1.2715657e-09	153475.4	-0.002769709	-1.546875	1.0610136	0.004022979	0.030333333	79.0	377.8909046649933
43	-1494.6896	106.71848	-1210.1221	-1755.4814	200.0	-730.1891	5.4920336e-05	-730.1885	-730.1891	528000	-7.629395e-09	158289.06	-0.0023832987	-76.4375	1.0507334	0.0029056785	0.027083334	79.0	386.6261463165283
44	-1477.5741	92.83148	-1234.6423	-1654.9941	200.0	-736.096	0.00012278918	-736.09564	-736.0961	540000	1.3987223e-08	153844.25	-0.0024780312	-42.734375	1.052257	0.003658956	0.018916667	79.0	395.3040313720703
45	-1497.3542	93.7562	-1349.8286	-1787.639	200.0	-731.71185	0.0001297015	-731.7112	-731.71173	552000	1.9073486e-08	158034.95	-0.002378694	-20.609375	1.0327384	0.003533233	0.022	79.0	404.06218338012695
46	-1488.0509	110.03868	-1242.8389	-1748.2252	200.0	-734.8065	0.00013029136	-734.80597	-734.8064	564000	1.7484028e-08	157003.98	-0.0028511868	-0.703125	1.051474	0.00505509	0.030083334	79.0	412.82931685447693
47	-1497.8992	103.39636	-1272.1378	-1685.5826	200.0	-734.27814	0.00012221264	-734.27783	-734.27826	576000	1.2715657e-09	158997.36	-0.0020606022	-14.65625	1.0493829	0.0031163616	0.019416668	79.0	421.5468385219574
48	-1504.6241	80.741684	-1323.516	-1715.959	200.0	-737.06934	6.5717984e-05	-737.06885	-737.0694	588000	1.4305114e-08	159463.31	-0.0021631282	-5.875	1.0349461	0.0036216294	0.023333333	79.0	430.313752412796
