Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1717.433	120.35807	-1506.7041	-1907.2488	200.0	0.04816719	0.036763515	0.25187957	-0.15800229	12000	-1.36693314e-08	959894.5	-0.0022224528	-167550.44	0.9248651	0.005144382	0.021916667	79.0	9.285760879516602
1	-1733.022	119.498215	-1423.5934	-1897.7324	200.0	-102.840034	0.0015080243	-102.810974	-102.8402	24000	1.04904174e-07	801918.6	-0.0013824463	-128996.94	0.91820085	0.0027095538	0.01775	79.0	18.146272659301758
2	-1722.5413	120.8452	-1399.8241	-1892.7083	200.0	-192.204	0.0018013988	-192.17006	-192.2042	36000	-2.9246012e-08	664828.3	-0.0017841314	-104029.69	0.933166	0.004238822	0.024416666	79.0	27.035304069519043
3	-1723.3534	106.62729	-1514.6263	-1891.6047	200.0	-274.52	0.0012647097	-274.49588	-274.52014	48000	1.8914541e-07	556121.75	-0.0010003377	-83501.97	0.94930065	0.0034978746	0.021583334	79.0	35.941352128982544
4	-1671.3116	109.214	-1460.77	-1873.9377	200.0	-350.4485	0.0014015182	-350.42297	-350.4486	60000	2.1616618e-08	437599.44	-0.0019933796	-61441.062	0.9648475	0.0036910414	0.025916666	79.0	44.82170009613037
5	-1627.5471	131.28523	-1322.8627	-1894.0841	200.0	-417.8646	0.0014478485	-417.8429	-417.86462	72000	7.629395e-09	351128.25	-0.0012858874	-44377.688	0.9896205	0.0046996125	0.0205	79.0	53.68531322479248
6	-1637.3839	132.96458	-1236.5034	-1882.0293	200.0	-477.17163	0.0015880739	-477.15442	-477.17188	84000	-2.5431315e-09	319180.97	-0.0010492706	-36498.03	1.0111471	0.0018518651	0.01425	79.0	62.51770257949829
7	-1643.1191	122.92052	-1331.0995	-1874.2817	200.0	-532.5664	0.0009022894	-532.554	-532.56665	96000	8.90096e-09	284603.97	-0.001537787	-27804.438	1.0281806	0.003759444	0.023	79.0	71.38747072219849
8	-1656.1858	137.69872	-1373.2928	-1901.6405	200.0	-582.6235	0.00077592366	-582.61395	-582.62366	108000	3.560384e-08	260658.05	-0.0018829855	-20758.422	1.0235783	0.004881117	0.02	79.0	80.27738523483276
9	-1642.857	145.73744	-1306.9263	-1866.8506	200.0	-627.2913	0.00075048057	-627.2822	-627.29144	120000	3.1789145e-09	233486.0	-0.0011566727	-13855.656	1.0191073	0.003983839	0.022166668	79.0	89.1512451171875
10	-1630.8722	121.95312	-1410.7665	-1880.8224	200.0	-665.08405	0.000556191	-665.0772	-665.08417	132000	-2.1616618e-08	214707.5	-0.00187511	-9176.969	1.0272477	0.004974261	0.028833333	79.0	98.29053783416748
11	-1650.5447	130.70435	-1372.248	-1862.8105	200.0	-696.8219	0.0005273996	-696.8151	-696.8219	144000	2.415975e-08	213125.55	-0.0010044035	-7088.1875	1.0567333	0.0024802673	0.012666667	79.0	107.30514931678772
12	-1654.4531	132.0647	-1241.7672	-1861.4569	200.0	-725.4508	0.000489607	-725.4452	-725.4507	156000	7.629395e-09	208163.75	-0.0015230002	-4884.578	1.0830772	0.003958069	0.014833333	79.0	116.27383279800415
13	-1628.5868	125.66521	-1337.4885	-1876.9131	200.0	-750.02136	0.00039933625	-750.0162	-750.0214	168000	8.90096e-09	194988.66	-0.0018305009	-2233.7344	1.0912367	0.002770536	0.020583333	79.0	125.05889940261841
14	-1643.6012	134.20541	-1367.6938	-1859.0355	200.0	-767.3543	0.00029715148	-767.34955	-767.3544	180000	-8.90096e-09	195794.69	-0.0015264314	-1436.8594	1.1054896	0.002889615	0.019916667	79.0	133.8422293663025
15	-1612.9866	122.052086	-1364.8613	-1860.7645	200.0	-781.48566	0.0002851889	-781.4819	-781.4857	192000	-1.6530354e-08	185426.98	-0.0015240625	-420.15625	1.1334741	0.002208121	0.009916667	79.0	142.71430230140686
16	-1593.0449	127.97727	-1341.9142	-1828.3514	200.0	-789.5774	0.00033304546	-789.57355	-789.5776	204000	-1.0172526e-08	181092.45	-0.0016801192	-58.921875	1.1414716	0.003724302	0.017166667	79.0	151.5702133178711
17	-1645.2505	123.988914	-1325.3734	-1856.0336	200.0	-792.79517	0.00024681972	-792.7915	-792.7953	216000	-1.4623006e-08	193296.05	-0.0009955692	-435.92188	1.1285969	0.0030622235	0.01675	79.0	160.42423105239868
18	-1608.3851	128.5847	-1398.3778	-1865.9216	200.0	-800.90314	0.00017200204	-800.90045	-800.9032	228000	-5.722046e-09	184024.8	-0.0011890418	-23.984375	1.1533084	0.0028261375	0.01225	79.0	169.29923152923584
19	-1601.2709	133.87436	-1206.185	-1813.2294	200.0	-803.25684	0.00021857773	-803.2538	-803.25684	240000	-6.357829e-09	182016.19	-0.0022461168	-6.71875	1.150751	0.0040084277	0.03125	79.0	178.16840505599976
20	-1594.9783	135.44983	-1278.7886	-1838.4265	200.0	-802.28015	0.000241471	-802.27747	-802.2801	252000	1.3987223e-08	181641.33	-0.0011134065	-0.40625	1.1814374	0.0021766433	0.010083334	79.0	187.25177311897278
21	-1620.3942	118.13125	-1338.9562	-1849.5657	200.0	-801.95734	0.00013155166	-801.9553	-801.9574	264000	-1.3987223e-08	186381.73	-0.0017847659	-55.203125	1.1626332	0.0050157052	0.029083334	79.0	196.09146118164062
22	-1586.1007	140.05363	-1294.8026	-1877.1555	200.0	-805.0985	0.00021684595	-805.09607	-805.09845	276000	6.357829e-09	180077.06	-0.0011196632	-0.609375	1.1977261	0.0037689728	0.014083333	79.0	204.873202085495
23	-1610.7563	129.46184	-1275.1398	-1840.1278	200.0	-804.88086	0.00020920833	-804.879	-804.88104	288000	-1.0172526e-08	184106.38	-0.0013003788	-1.96875	1.1779221	0.0031203118	0.013333334	79.0	213.71263813972473
24	-1584.1337	137.23225	-1172.3553	-1828.5984	200.0	-805.47864	0.0001917741	-805.47656	-805.47876	300000	-1.0808309e-08	178924.45	-0.0019863832	-46.203125	1.1971048	0.0025977911	0.021833334	79.0	222.53572821617126
25	-1585.4294	131.59297	-1253.6503	-1837.1931	200.0	-802.41016	0.00012543926	-802.4083	-802.41016	312000	-1.1444092e-08	178765.12	-0.0015445799	-16.5	1.2136799	0.0030666643	0.01775	79.0	231.3229103088379
26	-1557.2523	146.61984	-1145.0294	-1779.6427	200.0	-800.36816	0.00022075202	-800.3665	-800.36835	324000	1.2715658e-08	174112.39	-0.0018341547	-149.98438	1.2112814	0.0047088885	0.026083333	79.0	240.21802854537964
27	-1579.6033	153.3426	-1251.4154	-1866.5476	200.0	-794.44434	8.856585e-05	-794.44305	-794.44434	336000	-2.6702882e-08	178038.02	-0.0023037007	-49.984375	1.2274207	0.0031415187	0.021833334	79.0	249.01554703712463
28	-1525.0427	131.74301	-1203.8921	-1839.4619	200.0	-790.7365	9.773887e-05	-790.7352	-790.7366	348000	0.0	166400.88	-0.0024578196	-821.78125	1.2231798	0.002634158	0.023333333	79.0	257.8682293891907
29	-1463.5549	152.31024	-1193.0134	-1837.0355	200.0	-776.27936	0.00013944674	-776.2781	-776.27936	360000	5.086263e-09	156262.55	-0.0019526316	-1433.375	1.2420555	0.0025600176	0.016333334	79.0	266.6117558479309
30	-1452.1289	128.56166	-1235.9957	-1811.3098	200.0	-756.36035	0.00010040237	-756.3592	-756.36035	372000	5.722046e-09	151307.95	-0.0011242434	-655.2656	1.2342815	0.0025704824	0.0115	79.0	275.6622757911682
31	-1528.9355	124.91308	-1263.6296	-1818.5452	200.0	-742.252	9.4525705e-05	-742.251	-742.25195	384000	-1.1444092e-08	165932.6	-0.0018891634	-144.35938	1.2236952	0.0027441918	0.01925	79.0	284.49925899505615
32	-1483.6849	156.94934	-1110.0664	-1841.1061	200.0	-748.211	9.267333e-05	-748.21014	-748.21106	396000	-5.086263e-09	158461.83	-0.0017481537	-116.796875	1.2292613	0.0033117593	0.011916666	79.0	293.3401231765747
33	-1445.987	143.0826	-1117.9084	-1833.3257	200.0	-742.58484	0.00014791427	-742.58386	-742.5847	408000	-1.9073486e-08	150625.42	-0.0020890578	-528.7969	1.2253829	0.0031757234	0.019416668	79.0	302.2144901752472
34	-1412.2048	125.07658	-1102.1954	-1724.0333	200.0	-729.53906	7.632039e-05	-729.53815	-729.53906	420000	6.357829e-09	142774.53	-0.0018412292	-726.3125	1.2087098	0.0032067026	0.0123333335	79.0	311.15525555610657
35	-1447.0686	125.52183	-1164.6221	-1787.5945	200.0	-713.7627	0.00018392	-713.7621	-713.7629	432000	-5.086263e-09	148941.14	-0.0022157084	0.3125	1.2022573	0.0036126787	0.020083332	79.0	320.0464520454407
36	-1466.2521	155.59454	-1115.0657	-1801.2714	200.0	-712.88574	0.00012937917	-712.8851	-712.88586	444000	5.086263e-09	153848.12	-0.0013224768	-18.6875	1.2223915	0.0024640248	0.015416667	79.0	328.8637766838074
37	-1397.2935	152.22328	-1148.7767	-1801.3188	200.0	-715.47235	0.0001534845	-715.4715	-715.4722	456000	-9.536743e-09	140073.28	-0.0024507744	-312.96875	1.209274	0.002742135	0.019166667	79.0	337.7085876464844
38	-1437.9425	158.9155	-1031.5817	-1842.3882	200.0	-704.8319	9.5261785e-05	-704.8311	-704.83185	468000	2.0345052e-08	149327.75	-0.00250148	-68.140625	1.2076154	0.005212836	0.024083333	79.0	346.5346884727478
39	-1429.8191	179.04091	-903.3192	-1829.8922	200.0	-709.612	0.00013840207	-709.61127	-709.6119	480000	-6.9936115e-09	147835.36	-0.0017658031	-65.328125	1.2035806	0.0036559696	0.02175	79.0	355.3980746269226
40	-1410.4071	127.69201	-1155.9769	-1772.856	200.0	-704.67773	3.319269e-05	-704.67725	-704.67773	492000	-3.8146974e-09	140548.33	-0.0023832284	-127.9375	1.2040952	0.0028334178	0.02875	79.0	364.5564081668854
41	-1397.1654	167.814	-1106.0846	-1856.0449	200.0	-697.2262	7.543873e-05	-697.2257	-697.22626	504000	7.629395e-09	141033.08	-0.0027022648	-0.0625	1.181772	0.0031529376	0.022666667	79.0	373.39674496650696
42	-1414.8035	150.44037	-1013.27966	-1667.5642	200.0	-697.287	0.00014850912	-697.2863	-697.28687	516000	-8.90096e-09	142904.7	-0.0015847315	-9.421875	1.1683872	0.0019995947	0.012	79.0	382.29031896591187
43	-1447.8281	140.54477	-1142.2826	-1718.0358	200.0	-699.3668	0.00012678576	-699.36633	-699.3667	528000	1.5894572e-09	149378.5	-0.002040433	-256.40625	1.1610953	0.0042379326	0.024583334	79.0	391.0986294746399
44	-1386.8251	163.12918	-884.863	-1695.7804	200.0	-710.382	6.639707e-05	-710.38165	-710.3821	540000	1.1444092e-08	138266.23	-0.0013830985	-448.75	1.1684563	0.0025541203	0.0125	79.0	400.0316867828369
